,id,Nama_Destinasi,Deskripsi_Singkat,Kategori,Lokasi,Latitude,Longitude,Rating,Jumlah_Ulasan,Ulasan_1,Ulasan_2,Ulasan_3,Ulasan_4
10,10,Pasar Kreneng,Pasar Kreneng merupakan merupakan salah satu pasar yang sangat dikenal masyarakat Bali khususnya warga Kota Denpasar. ,Pasar tradisional,"86VF+RX9, Dangin Puri Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali 80236",-8.647.486,115.223.988,"4,4",8.626,"pasar tradhisional, jika pagi hari di buat jualan sayur, ikan, sembako dan kebutuhan pokok lainnya, tapi kalau malam hari di buat jualan baju, makanan, dan aneka pernak-pernik seperti pasar malam.","Sangat menyenangkan ke pasar ini karna selain parkiran yg cuma 1000 disini tiap pagi juga ada thrifting murah, makanan disini jg relatif murah dan beragam jd muslim bisa leluasa makan disini","Kurang afdol klo ke luar kota ngga mampir ke pasar tradisionalnya. Cm karna saya kesini sore jd suasananya seperti orang jualan pasar malam. Hampir semua sama yg dijual. Sepatu, baju, kosmetik, baju adat, ada jg kulinernya👍🏻","Mencari hidangan untuk dinner mampir ke pasar kreneng saja. Dari babi guling, sate kambing, lalapan, aneka kue."
12,12,Taman Kota Sewaka Dharma,"Taman indah di sekitar danau, dengan jalur joging, taman bermain, dan pertunjukan air mancur tiap akhir pekan.",Taman Kota,"Dauh Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80233",-8.637.897,115.210.348,"4,5",10.715,"Luas, ada kantin dan pedagang kaki lima lainnya, ada dagang mainan deket playground nya asik untuk main sama todler","Cukup nyaman untuk olahraga ringan disini seperti jalan kaki dan lari kecil, tidak seluas lapangan renin tapi oke lah. Ada kantin juga jika ingin jajan, pepohonan cukup rindang","Tempat yg sejuk cocok untuk joging bersama teman, kelurga dan pacar","Taman rekreasi, hiburan, nongkrong ataupun yang lainnya. Sangat rekomendasi bagi para keluarga. Tentunya tempat ini untuk yang sudah sah. Tidak disarankan untuk yang pacaran karena sangat ramai akan keluarga yang ada disitu. Terlebih ada taman bermain untuk anak-anak. Air mancur yang sangat menggungah mata inu.
"
13,13,Museum Lukisan Sidik Jari,Museum Lukisan Sidik Jari adalah museum khusus yang menampilkan koleksi utama berupa lukisan sidik jari.,Museum Seni,"Jl. Hayam Wuruk No.201, Sumerta Kelod, Kec. Denpasar Tim., Kota Denpasar, Bali 80239",-8.663.317,115.240.472,"4,5",125.0,"Museum jadi satu dengan togamas dan sanggar. Masuknya tidak dipungut biaya. Selain lukisan, ada juga puisi dan kerajinan tangan buatan si seniman. Sayangnya, pencahayaannya agak kurang dan bingkai kacanya sedikit berdebu.",Melukis dengan sidik jari cuman ada di Bali & satu-satunya di dunia. Walaupun pelukis sudah tidak mampu melukis dengan sidik jarinya lagi karena stroke tapi Beliau masih bisa melukis dengan kuas. Ke tempat ini tidak ada biaya masuk cuman ada donasi seiklasnya untuk menjaga kenyamanan museum,"Museum ini menjadi alternatif wisata seni. Bagi pencinta seni, museum ini bisa didatangi. selain itu ditempat yang sama juga terdapat Toko Buku Tiga Mas sebagai destinasi untuk mencari referensi literatur.",Museum lukisan bersebelahan dengan toko buku toga mas. Yang sering saya kunjungi adalah toga mas karena memberikan diskon setiap saat.
14,14,Pantai Mertasari,"Tempat liburan pantai sejuk dengan rekreasi berenang, naik perahu, selancar angin & festival layang-layang.",Pantai,"di Jln. Tirta Empul, Desa Sanur Kauj, Depasar Selatan, Bali.",-8.709.876,115.250.932,"4,4",5.616,"Ombaknya cenderung tenang, jadi banyak orang dewasa bahkan anak anak berenang. Cocok bawa keluarga berwisata ke sini. 😁👍🏻","Mertasari Beach merupakan salah satu pantai berpasir putih yang terletak di ujung selatan Pantai Sanur - Bali.

Pantai Mertasari sendiri mempunyai karakter ombak yang tenang, sehingga banyak kalangan berlibur di pantai ini sambil maen kano.

Terutama pada waktu akhir pekan pemuda - pemudi cukup banyak berkunjung ke Pantai.

Pantai Mertasari sendiri beberapa kali dipakai spot untuk lomba layang international bahkan Sanur Festival kerap diadakan di Mertasari Beach.","bagus pantainya, banyak juga pedagangnya tapi masih rapi. suasana pantai juga enak, pas dateng kebetulan ombaknya ga keras, anginnya gak barat, gak hujan, pokoknya enak disini bisa mandi dan makan pop mie😋😋","Pantai yang memiliki ombak yang tenang, ada joging track, sore ramai yang bermain layang-layang. Ada anjing tapi cukup aman. Ada petugas kebersihan di pagi hari, cukup bersih. Cocok untuk melihat sunrise."
15,15,Pura Sakenan,"Pura di pulau yang tenang dan situs ziarah yang didedikasikan untuk dewa Siwa, dengan kuil beratap jerami.",Pura,"76FH+WQ3, Jl. Pulau Serangan, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80229",-8.720.685,115.223.785,"4,7",651.0,"Dulu waktu kecil sering kesini untuk sembahyang tiap odalan, tapi sekarang udah jarang. Saat itu sedang jalan-jalan mengendarai motor bersama teman-teman dan menyempatkan berfoto bersama motor di depan pura ini.",Kita ke pura sakenan Untuk melakukan persembahyangan. Parkir yang tersedia sangat luas dan bisa menampung kendaraan yang banyak. Mudah mendapatkan banyak tempat makan yang bisa kita pilih sesuai selera.,Pura yg sangat bagus utk sembahyang .dikelilingi laut dan penandangan yg sangat bagus,Pura suci di pulau sakenan. Salah satu destinasi persembahyangan suci di pulau bali.
16,16,Pantai Padang Galak,⁦Pantai Padang Galak merupakan pantai berpasir berwarna hitam dengan ombak yang besar⁩⁦.,Pantai,"Jl. Padanggalak Sanur No.88, Kesiman Petilan, Kec. Denpasar Tim., Kota Denpasar, Bali",-8.661.776,115.260.540,"4,6",402.0,Sering dipergunakan untuk tempat upacara adat dan agama Hindu di Bali. Khususnya Denpasar dan Badung,"sunsetnya baguss,,, dan cocok untuk jogging juga
the best dehh👊🏻","Datang bersama keluarga ketempat ini, mau jogging ringan, senam, atau jalan santai. Apalagi sehari setelah Nyepi, pinginnya suasana yg ramai dengan hiruk pikuknya.
Saat tiba ditempat ini, masih kelihatan umat Hindu, duduk bersila sedang beribadah disisi pinggiran pantai dengan pakaian seragam putih.
Pantai ini tidak begitu ramai, banyak orang yg berlalu lalang dan ada juga yg bersepeda. Tetapi dipojok dari pantai ini, khususnya dekat dengan kantor Pelabuhan Pelni banyak yg berjemur sambil tiduran diatas pasir.
Hari ini lumayan juga, kita olahraga jalan dan senam .. sudah berkeringat serta panas juga.","Pantai ini bagus sebenernya tp kurang terkenal mungkin karena kurang promosinya ya. Tempat yg cocok untuk rileks, sambil makan juga bisa karena ada banyak yg jualan, tp kalau utk berenang kayaknya ga bisa ya. Paling bagus bila cuaca sedang cerah, langit biru dan air lautnya sangat kontras
"
17,17,Big Garden Corner,"Aneka koleksi patung batu yang dipajang di luar ruangan, dilengkapi taman bermain & restoran.",Taman,"Sanur, Jl. Bypass Ngurah Rai, Kesiman, Denpasar Selatan, Kota Denpasar, Bali 80237
",-8.672.068,115.258.276,"4,3",6.192,"Big Garden Corner

Tempat wisata yang menampilkan taman patung, seni, dan tempat bersantai di area terbuka yang luas. Tempat ini dikenal karena koleksi patung batu yang mengesankan, mulai dari patung Buddha hingga patung-patung tradisional Bali, serta instalasi seni lainnya. Di tengah taman yang rimbun, ada banyak spot foto menarik, termasuk area dengan payung warna-warni dan jalan setapak yang dihiasi tanaman dan ornamen✨

Selain pemandangan dan patung, Big Garden Corner juga memiliki area bermain untuk anak-anak, restoran dengan menu lokal dan internasional, serta tempat duduk untuk bersantai di lingkungan yang alami. Lokasinya di Sanur menjadikannya pilihan yang mudah diakses bagi wisatawan yang ingin menikmati suasana alam dan seni Bali tanpa harus pergi jauh dari area wisata utama🤗🙌🏻","Bagus, ornamen patung dari batu seperti arca2 jaman kejayaan bangsa Indonesia.","We loved it, a beautiful place. The food and tea and coffee tasting were also great. I took soo many photos, this isn't even all of them. I highly recommend spending a morning here.",selain untuk tempat rekreasi..Recomended utk acara kantor dan keluarga
18,18,Museum Bung Karno,⁦Museum Agung Bung Karno⁩⁦ adalah museum yang menyimpan peninggalan bersejarah yang berhubungan dengan Soekarno—presiden pertama Indonesia.,Museum Sejarah Lokal,"Jl. Raya Puputan No.80, Dangin Puri Klod, Kec. Denpasar Tim., Kota Denpasar, Bali 80234",-8.672.754,115.225.085,"4,8",1.394,"Bersih dan dingin. Informasi yang dipajang juga lengkap. Minusnya gak ada guide atau petugas yang menyebar aja. Jadi kalo pengunjung gak tertib gak ada yang ingetin, dan beberapa informasi disampaikan tidak detil sampai ke dalam, cukup membuat penasaran mereka yang tertarik.","Selain terdapat makam dan artefak peninggalan milik bung Karno, disini juga terdapat unit perpustakaan yang dikelola perpustakaan nasional berisi buku, naskah, serta tulisan yang berkaitan dengan bung Karno serta pemikirannya.

Masuknya gratis, kecuali jika ingin berziarah ke makamnya","Museumnya tidak besar, namun barang yang ada disitu cukup lengkap untuk melihat memorabilia Bung Karno.
Untuk melihat isi museum ini hanya butuh sekitar 15-20 menit saja.
Kalau hanya sekedar lewat, silahkan mengunjungi","Tempatnya luar dan cantik, cocok untuk kumpul kluarga dan teman teman, terimakasih sudah menyiapkan acara ulangtahun aya dengan dekor yang bagus, makanannya juga gak kalah enak, stafnya ramah ramah, kami akan dagang kembali 🤗😍"
19,19,Desa Budaya Kertalangu,"Jogging menjadi kegiatan favorit di bekas desa yang indah dengan area berumput, kolam & gong raksasa.",Pusat kebudayaan,"Jl. Bypass Ngurah Rai No.88, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",-8.646.294,115.255.271,"4,3",2.283,"Tempat yang lumayan bisa melepaskan penat saat weekend. Ada kolam renang, taman pancing ikan, jalan trecking.","tempat wisata alam untuk keluarga hemat murah meriah, terdapat berbagai fasilitas seperti kolam renang anak dan dewasa, jogging track dengan view persawahan, kolam pemancingan yang nyaman dilengkapi bale-bale untuk menikmati hasil pancingan (bisa request berbagai macam masakan di restonya), recommended","Tempat yang bagus untuk acara kelompok,, outdoor acara kantor atau keluarga. 😉","Disini terdapat area olahraga joging track sepanjang 1,5KM dengan nuansa alam persawahan. Udaranya yang sejuk menambah kita untuk lebih semangat lagi dalam berolah raga. Ketika liburan selalu dipadati orang-orang yang sedang joging dan jalan-jalan"
20,20,Trans Studio Theme Park Bali,"Taman hiburan ini memadukan elemen modern dengan sentuhan budaya lokal, menghadirkan berbagai wahana dan atraksi yang cocok untuk segala usia.",Taman Hiburan,"Jl. Imam Bonjol No.440, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119",-8.662.070,115.208.473,"4,5",5.361,"Trans Studio Bali adalah taman hiburan dalam ruangan menakjubkan yang menawarkan pengalaman hebat bagi anak-anak dan orang dewasa.

Wahananya modern, aman, dan terawat dengan baik, dengan beragam atraksi mulai dari roller coaster yang mendebarkan hingga pertunjukan ramah keluarga. Stafnya ramah dan sangat membantu.

Saya terutama menyukai dekorasi bertema Bali dan pengalaman bioskop 4D. Ini adalah tempat sempurna untuk melepaskan diri dari panas atau hujan sambil tetap menikmati hari yang menyenangkan.","Untuk area hiburan di indoor menarik, harga tiket lumayan mahal walaupun ada promo....kebanyakn permainan selalu yang bikin kaget dan serem lebih ke uji nyali dan bagus nya mmg untuk anak2 usia remaja...yang berkesan naik wahana yg di air dan pertunjukan gayatri top bgt. Terakhir pertunjukan 3D ttg keindahan indonesia..lupa namanya...30 menit an hrs nunggu giliran..lumayan pengalaman kurang menyenangkan karena tidak petugas yg mengatur alur masuknya sesuai antrian...dan setelah lihat agak mual dan pusing....tidak disarankan utk yg darah rendah pasti pusing","Tempat yang wajib dikunjungi kalau lagi di Bali! Trans Studio Theme Park Bali bener-bener seru buat semua umur. Wahananya lengkap, dari yang santai sampai yang bikin adrenalin naik, kayak Boomerang Coaster dan Formula Kart. Yang paling keren, karena ini theme park indoor, jadi nggak perlu khawatir hujan atau kepanasan!

Selain wahana, ada juga live show dengan kostum megah dan efek panggung keren—beneran bikin pengalaman makin berkesan! Tempatnya bersih, staff ramah, dan cocok banget buat seru-seruan bareng temen, keluarga, atau pasangan.

Pokoknya, worth it banget buat dikunjungi! Kalau ke Bali, jangan lupa mampir ke sini!","tempatnya seru, aktivitasnya juga banyak ,permainannya bikin ketagihan pengen main terus, banyak spot"" foto , dan ga perlu khwatir laper& haus ,karna mereka jual makanan ,cemilan, dan minuman 🥰
kalo ke bali pokonya wajib kesiniiiiiii 😍😍😍😍"
